text,user
"@HillaryClinton The government is paying the rest dumm dumm, the drug companies are still getting their money. And… https://t.co/xlTOhYvYgx",mightymatt777
RT @CawthornforNC: You can thank Joe Biden for causing historic inflation surges,korbendallas500
"RT @PalmerReport: As of today, Ron Bloom is officially gone from the Postal Board. Once President Biden’s new nominees are confirmed, Louis…",Lilly15251
"RT @GregAbbott_TX: BREAKING:

A federal court in Georgia has entered a nationwide injunction against the federal-contractor vaccine mandate…",Marco_b72
"RT @disclosetv: JUST IN - Russia sends warning to the U.S. Embassy in Moscow of ""dangerous consequences"" for any ""provocations near Russia'…",xrp334
"CNN: Biden says US troops in Ukraine are off the table but promises withering sanctions if Russia invades.
https://t.co/OfLdwaIPO1",getupradio
"RT @B52Malmet: .@WHCOS as an American who voted for Biden/Harris in a raging pandemic, I tweet at you in all sincerity with urgency. We MUS…",HelenSh68595041
RT @ThePlumLineGS: Manchin and Sinema are obviously the problem. But Dems could forcefully commit to a future agenda if more Dems are elect…,WitchHistorian
RT @RealSaavedra: Biden still has not deleted this. Yikes.,INTJerk
RT @OccupyDemocrats: BREAKING: January 6 Committee announces that it obtained a text message where Mark Meadows responded with “I love it!”…,Davidmo34022538
"RT @HillaryClinton: Here's what's in the Build Back Better bill:

- A $35 cap on insulin
- Grants to finish college
- A year of Medicaid co…",teollom
RT @JordanChariton: How we going to pay for it? https://t.co/xM0fIw65Ki,TimmayMN
RT @Will_Bunch: “Here’s why that’s bad news for President Biden” https://t.co/jz9MfHjuxT,Senor_Cartmenez
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",cgard30
"RT @TheBeatWithAri: While the AP reported on the ""sluggish"" jobs report under President Biden, they called a similar number under Trump ""ro…",abby9818
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",dancingfun
Biden to expand federal fleet of EVs in bid to make government carbon-neutral by 2050 https://t.co/N9Hzmsn1ZT,bdollabills
RT @lavern_spicer: Why does Joe Biden want to defend Ukraine’s borders but not our own?,obxsurfmom
@Sen_JoeManchin Biden is out wasting jet fuel in a little handful of people town in Missouri trying to promote his… https://t.co/EU34dOAX7A,elaine72658
@TIME Trump did more for America out of office than Biden in office. Biden / Harris is the worst administration for… https://t.co/IaeHlaloDf,billmacd04
RT @EricMMatheny: Did Biden even acknowledge the 80th Anniversary of Pearl Harbor?,sghscat
RT @SkinCareBully: I have been cackling cause he really called Biden “Jo Jo”.😭😭 https://t.co/O4mGKWfTDn,_jayc12
"“It doesn’t tell the private sector entities what to do, but to some extent it will demand a certain kind of good a… https://t.co/t6Y8LGY3jZ",ScottWengerNYC
"RT @StudentDebtGlob: US tax plan proposes massive overhaul to audit high earners and corporations for tax evasion
The Biden administration…",4slj_
"RT @HouseDemocrats: Thanks to President Biden and House Democrats, taxes are down ⬇️ and wages are up ⬆️. 

The average American family…",nancypdpelosi
"RT @mmpadellan: The former guy kept promising to show his health care plan for four years, and never got around to it.

In less than a year…",Desa13I
RT @twtsfr: I want trump back joe biden got no jokes this nigga boring,funkynuttypop
@ryangrim Every time I see a quote from Manchin I want to also see at least one quote from someone from the Biden a… https://t.co/50eCvMg5tN,PragmatcRadical
"RT @atensnut: There’s no world leader, much less Putin, who takes Biden Seriously. They know he is a nincompoop.",richardfieni
Biden threatened Putin with ‘economic consequences like he’s none he’s ever seen’ https://t.co/YeLz4GH9qw,Newsmond1
"RT @Jim_Jordan: President Obama gave Ukraine blankets. 

President Trump gave Ukraine tank-busting Javelin missiles. 

President Biden wave…",BeachParadise44
"RT @Jim_Jordan: President Obama gave Ukraine blankets. 

President Trump gave Ukraine tank-busting Javelin missiles. 

President Biden wave…",KDresden
"@taro_taylor The long-term voter turnout in the US is only 40%, and only 60% of Biden's voters voted this time. Bid… https://t.co/SNNW4Mv1HU",limingchu998
I'm guessing they chose my car because I have a Bernie sticker and he's just the same as Biden. They are both the communisms.,JC_Christian
"RT @RNCResearch: REPORTER: “Other than your meeting with Kamala Harris In June?”

GUATEMALAN PRESIDENT: “That’s the only one”

REPORTER: “T…",Justacarwhore
RT @johnpilger: Biden lies about Russia.  It was the US that overthrew the elected govt in Ukraine in 2014 allowing NATO to march right up…,Duir100
"CNN: Biden says US troops in Ukraine are off the table but promises withering sanctions if Russia invades.
https://t.co/o1BJRoArMq",worldhabbits
"Someone put one of those ""Biden I did that"" stickers wingnuts stick to gas pumps onto the back of my car, pointing… https://t.co/d9WO0rZ8TI",JC_Christian
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/4VxoVXQmfP,BDCitizen
Biden has new brand for infrastructure deal he’s promoting https://t.co/59hIw3lnGp,KKTV11News
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",LeanPng
"RT @patriottakes: Marjorie Taylor Greene posted a meme of Joe Biden being electrocuted.
(Instagram) https://t.co/vDuXhZhOZl",JodyAlford17
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/zLNZiO4JZ7,wacotrib
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/QZ3tNlTHFR,nonpareilonline
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/UtDavMWY7i,Hickoryrecord
"RT @Will_Bunch: Look, the media's coverage of Biden is atrocious, and now the Post's Dana Milbank has the #s to prove it. But the problem i…",TxsleuthUSA
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,taditupp
"RT @disclosetv: JUST IN - Russia sends warning to the U.S. Embassy in Moscow of ""dangerous consequences"" for any ""provocations near Russia'…",TemporalPrattle
"RT @RonMilnerBoodle: No matter if its Barack Obama, Hillary Clinton, Hunter Biden, or Alec Baldwin, Liberals always teach lessons that you…",franticfil
"@CawthornforNC And getting everyone back to work... because:
MAJORITY of Americans are working again, thanks to Pre… https://t.co/Ay3Gf6ZYtf",Terk1
Biden wants the US government to eliminate CO2 emissions by 2050 https://t.co/O4CpnQAYE1,RuthBrown111
"RT @DanPriceSeattle: The Military asked for a $715 billion budget, then our only war ended, then Congress gave them $768 billion.

But we ""…",Ade_W
"It is Wednesday December 08, 2021, 15:26:02. Joe Biden has not restored immigration opportunity to those denied und… https://t.co/kfx2U9K0eW",tankiebot69420
RT @SenWhitehouse: The Biden Administration’s strategy sets a solid framework for American leadership in the battle against kleptocracy &amp; c…,Andallthatjazz2
"RT @GregAbbott_TX: Biden banned travel from South Africa because of the new Covid variant.

Immigrants have recently been apprehended cross…",RobertHolgate
"RT @MaryKReinhart: ""Biden can prohibit new leasing under existing laws — today"" says @CenterForBioDiv's @Spivak14  
Climate can't wait: Bid…",HikikomoriAlice
RT @OccupyDemocrats: BREAKING: January 6 Committee announces that it obtained a text message where Mark Meadows responded with “I love it!”…,dkrende
"RT @HillaryClinton: Here's what's in the Build Back Better bill:

- A $35 cap on insulin
- Grants to finish college
- A year of Medicaid co…",TroyMil47222112
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,kenndesean
"RT @Richardafowler: 🚨🚨A MUST READ: African-American Struggles Show In Presidential Approval Ratings! 

Checkout my newest piece in @Forbes.…",sephius1999
"RT @RandPaul: So it turns out communism may be a bridge to far for some democrats

https://t.co/YnBfu3jLoe",raquellrussell
"RT @DanPriceSeattle: The Military asked for a $715 billion budget, then our only war ended, then Congress gave them $768 billion.

But we ""…",DMBtheideaofyou
"RT @JDCocchiarella: Republicans will do anything to hurt President Biden politically.

The GOP is too radical to govern.",davidpsdem
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,OG_bulu
"RT @approject: President Joe Biden nominated a far-left, woke radical named Gigi Sohn to the FCC. She doesn't believe in the first amendmen…",AnnikaC28927272
@mtracey What Biden says is different from his actions.,L0_0ney
"RT @TheBeatWithAri: While the AP reported on the ""sluggish"" jobs report under President Biden, they called a similar number under Trump ""ro…",marydi60
"RT @SenTedCruz: President Biden’s vaccine mandates are illegal, unconstitutional, and an abuse of power.
 
Taking the vaccine should be a d…",LuckyJoeW
"Republicans force another Biden nominee – another woman – to withdraw, after calling her a ‘communist’ https://t.co/w9G991fFUl",Danadug
"RT @MonicaCrowley: The wheels have come off.  My latest -&gt; 

Biden's catastrophic collapse of American leadership https://t.co/dhR0Y39mS0 #…",BigDLux1
"CNN: Biden says US troops in Ukraine are off the table but promises withering sanctions if Russia invades.
https://t.co/vbJj0DIjvQ",getupradiomedia
"Joe Biden &amp; DEMOCRATS Getting DESTROYED In New Polls As Hispanics Are Running Towards GOP!
https://t.co/uWfK7wI0R5… https://t.co/UkM8wjqI3H",altblacknews
RT @OccupyDemocrats: BREAKING: January 6 Committee announces that it obtained a text message where Mark Meadows responded with “I love it!”…,WildHorsesNV
"RT @GregAbbott_TX: BREAKING:

A federal court in Georgia has entered a nationwide injunction against the federal-contractor vaccine mandate…",1nfr4r3d
"RT @SoSocialism: Joe Biden let's his son smoke Crack, just not you",queer_rogue
RT @EricMMatheny: Did Biden even acknowledge the 80th Anniversary of Pearl Harbor?,rgreer694
RT @NPCA: The reckless Cadiz water project would drain the California desert of scarce groundwater for profit. This decision stands up for…,cupcakekitty09
"RT @OccupyDemocrats: BREAKING: Elon Musk, the richest person in the world, tells a room full of CEOs that we should ""can"" Biden's historic…",gettysburgfarm
RT @smerconish: First up at 9pm @AVindman and @stavridisj join me @CNN to talk @JoeBiden and #Putin – tweet me your thoughts and I will rea…,21_7_b
RT @lavern_spicer: Why does Joe Biden want to defend Ukraine’s borders but not our own?,ChrisCiolino
RT @SierraClub: A bold new executive order from @POTUS serves as a critical first step to cutting pollution from the government’s own vehic…,sergioantillano
"RT @RepThomasMassie: The executive branch can’t make law. Why are so many eager to ignore this when “their guy” is President?

Biden’s OSHA…",AnastaziLH
"RT @StephenGlahn: A resolution won't do anything guys-

Dem Senator Jon Tester to vote with GOP to undo Biden vaccine rule https://t.co/WGf…",DaveBedore1
"RT @ChuckRossDC: I knew Kamala Harris weighed in on Jussie, but didn't realize Biden did https://t.co/q9OsRUR46A",Ivoryfire1203
"@Agent_711 @imUrB00gieman Biden spoke for the US &amp; European nations. He is respected on the world stage, unlike Tru… https://t.co/VnSNPvSN06",walkrunfly1
RT @RichardEngel: Ukraine's Foreign Minister Dmytro Kuleba told Reuters on Wednesday that talks between U.S. President Joe Biden and Russia…,pamelasummer57
